goos: linux
goarch: amd64
pkg: github.com/grafana/mimir/pkg/ingester/activeseries
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_1-16       	  448378	      2654 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_2-16       	  446230	      2624 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_2-16       	  455038	      2622 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_2-16       	  453632	      2669 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_2-16       	  453080	      2618 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_2-16       	  452540	      2623 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_2-16       	  453721	      2702 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_2-16       	  457621	      2657 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_2-16       	  435429	      2630 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_2-16       	  454123	      2698 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_2-16       	  458248	      2633 ns/op	       0 B/op	       0 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_5-16       	  423410	      2846 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_5-16       	  414654	      2835 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_5-16       	  423726	      2836 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_5-16       	  421060	      2841 ns/op	       8 B/op	       1 allocs/op
BenchmarkMatchesSeries/TrackerCount:_100,_Labels:_25,_Matching:_5-16       	  416509	      2842 ns/op	       8 B/op	       1 allocs/op
